Model,Accuracy,Precision,Recall,F1_Score
Gradient Boosting,0.9416666666666667,0.9412664811700964,0.9416666666666667,0.940682049224184
Random Forest,0.9291666666666667,0.9292015581154924,0.9291666666666667,0.9271893869663228
Xgboost,0.9208333333333333,0.919516657947764,0.9208333333333333,0.9184773046217508
Decision Tree,0.875,0.8765663038389513,0.875,0.8741050053864262
Logistic Regression,0.7708333333333334,0.7559647550776581,0.7708333333333334,0.7604503105590062
K-Nearest Neighbors,0.7041666666666667,0.6281960227272728,0.7041666666666667,0.6376569492392277
Support Vector Machine,0.7291666666666666,0.5316840277777778,0.7291666666666666,0.6149598393574298
